Category: All categories,,,,,,
,,,,,,
Week,dell: (Worldwide),lenovo: (Worldwide),HP: (Worldwide),Asus: (Worldwide),Acer: (Worldwide),Other: (Worldwide)
7/6/2014,33,30,92,37,19,35
7/13/2014,33,31,91,38,19,35
7/20/2014,33,32,93,39,20,37
7/27/2014,33,32,88,39,20,37
8/3/2014,33,35,93,41,20,36
8/10/2014,34,37,95,42,21,38
8/17/2014,34,36,93,44,21,39
8/24/2014,35,36,100,44,22,40
8/31/2014,34,35,97,44,22,44
9/7/2014,34,35,95,43,21,106
9/14/2014,33,33,95,43,21,63
9/21/2014,33,33,94,41,21,58
9/28/2014,32,34,93,41,20,52
10/5/2014,33,36,93,42,20,47
10/12/2014,34,35,94,43,19,54
10/19/2014,33,34,91,42,20,52
10/26/2014,32,34,90,42,20,47
11/2/2014,32,35,89,41,20,45
11/9/2014,33,37,92,43,20,44
11/16/2014,34,37,94,44,21,43
11/23/2014,37,39,96,49,23,52
11/30/2014,35,38,95,47,22,43
12/7/2014,33,40,93,47,22,43
12/14/2014,32,40,94,48,22,42
12/21/2014,31,43,92,54,25,49
12/28/2014,29,37,87,48,22,44
1/4/2015,33,37,92,49,21,40
1/11/2015,32,36,92,47,20,39
1/18/2015,32,37,94,45,20,38
1/25/2015,33,36,94,44,20,39
2/1/2015,32,37,93,44,20,38
2/8/2015,32,36,89,44,20,37
2/15/2015,32,37,90,44,19,37
2/22/2015,32,38,90,42,19,38
3/1/2015,31,37,90,43,19,37
3/8/2015,32,37,91,45,19,59
3/15/2015,32,36,91,44,19,42
3/22/2015,31,36,88,43,19,38
3/29/2015,30,37,87,44,19,38
4/5/2015,30,38,88,44,17,42
4/12/2015,29,38,87,42,17,40
4/19/2015,30,38,88,45,18,41
4/26/2015,29,38,86,43,18,42
5/3/2015,28,39,87,42,17,39
5/10/2015,30,39,84,42,17,37
5/17/2015,29,39,86,42,17,37
5/24/2015,29,40,85,42,17,37
5/31/2015,30,40,85,44,17,38
6/7/2015,30,40,86,42,17,42
6/14/2015,30,40,85,41,17,38
6/21/2015,30,45,87,43,17,40
6/28/2015,29,44,86,43,17,45
7/5/2015,29,45,86,42,16,42
7/12/2015,30,44,83,42,17,41
7/19/2015,31,43,85,43,17,42
7/26/2015,34,45,89,46,19,40
8/2/2015,33,46,91,47,19,41
8/9/2015,34,46,89,46,19,41
8/16/2015,33,46,90,46,18,41
8/23/2015,32,44,91,46,18,41
8/30/2015,32,45,90,46,19,42
9/6/2015,32,45,89,46,19,70
9/13/2015,31,43,88,44,18,51
9/20/2015,30,43,87,43,17,54
9/27/2015,31,42,88,43,17,51
10/4/2015,31,42,88,43,17,49
10/11/2015,35,45,88,45,18,48
10/18/2015,32,43,85,43,17,46
10/25/2015,30,45,83,43,17,46
11/1/2015,32,44,87,42,17,45
11/8/2015,31,44,84,43,18,43
11/15/2015,32,43,85,43,18,43
11/22/2015,36,48,89,49,20,52
11/29/2015,34,46,88,48,19,44
12/6/2015,31,46,86,47,18,44
12/13/2015,31,47,85,47,18,43
12/20/2015,29,49,83,52,20,51
12/27/2015,28,47,83,49,19,46
1/3/2016,28,46,86,44,17,41
1/10/2016,27,41,84,42,16,38
1/17/2016,27,42,84,40,16,38
1/24/2016,27,42,83,40,15,39
1/31/2016,27,40,82,39,15,38
2/7/2016,27,41,82,39,15,37
2/14/2016,27,41,84,38,15,38
2/21/2016,27,40,85,38,15,37
2/28/2016,27,39,83,38,15,37
3/6/2016,27,38,82,37,14,37
3/13/2016,27,38,81,36,15,36
3/20/2016,27,38,78,36,14,49
3/27/2016,27,38,79,37,14,41
4/3/2016,25,36,83,34,14,39
4/10/2016,25,37,83,34,14,35
4/17/2016,26,36,80,34,14,35
4/24/2016,25,36,82,34,14,37
5/1/2016,24,36,79,35,14,35
5/8/2016,26,38,83,34,13,35
5/15/2016,25,37,80,34,14,34
5/22/2016,25,37,79,36,14,35
5/29/2016,25,37,79,40,14,34
6/5/2016,25,38,80,38,14,34
6/12/2016,25,39,82,38,13,37
6/19/2016,26,40,81,38,13,34
6/26/2016,25,41,83,38,14,34
7/3/2016,25,40,77,37,13,35
7/10/2016,26,42,84,41,14,37
7/17/2016,26,42,86,39,13,36
7/24/2016,26,43,85,39,14,36
7/31/2016,26,45,87,39,14,37
8/7/2016,25,42,87,38,14,35
8/14/2016,26,41,84,38,14,34
8/21/2016,26,40,85,38,14,37
8/28/2016,26,42,85,39,15,40
9/4/2016,27,44,87,40,15,73
9/11/2016,27,43,83,38,14,54
9/18/2016,27,43,87,38,14,50
9/25/2016,26,43,86,38,14,52
10/2/2016,27,44,85,38,14,49
10/9/2016,26,43,86,37,14,48
10/16/2016,27,43,86,37,14,45
10/23/2016,27,42,83,37,14,50
10/30/2016,27,41,82,38,14,45
11/6/2016,26,39,81,36,14,42
11/13/2016,27,39,85,37,15,42
11/20/2016,32,46,90,43,16,53
11/27/2016,29,44,87,40,15,44
12/4/2016,27,42,83,38,15,40
12/11/2016,25,43,82,39,14,43
12/18/2016,25,45,83,40,14,46
12/25/2016,24,46,82,42,16,48
1/1/2017,26,43,81,40,15,42
1/8/2017,26,41,82,37,14,40
1/15/2017,26,41,85,36,14,38
1/22/2017,26,39,83,37,13,39
1/29/2017,26,37,84,35,13,38
2/5/2017,27,38,83,35,13,38
2/12/2017,26,36,82,34,13,36
2/19/2017,26,36,82,34,13,36
2/26/2017,25,34,82,34,13,37
3/5/2017,25,35,80,33,12,36
3/12/2017,25,34,79,34,13,36
3/19/2017,27,35,80,33,12,40
3/26/2017,25,34,80,32,12,38
4/2/2017,25,33,78,31,12,37
4/9/2017,24,32,77,32,12,37
4/16/2017,24,32,76,31,12,37
4/23/2017,24,32,78,30,12,37
4/30/2017,23,30,74,30,12,38
5/7/2017,24,32,78,30,12,37
5/14/2017,24,32,75,29,11,37
5/21/2017,23,30,74,29,11,35
5/28/2017,23,32,77,31,11,35
6/4/2017,24,31,75,30,11,42
6/11/2017,24,30,74,30,11,37
6/18/2017,25,32,74,30,11,37
6/25/2017,24,33,75,31,11,37
7/2/2017,24,33,80,32,11,36
7/9/2017,25,32,79,31,12,38
7/16/2017,25,32,80,30,12,37
7/23/2017,25,32,79,30,12,38
7/30/2017,25,33,80,31,12,40
8/6/2017,26,34,78,30,12,38
8/13/2017,25,34,79,31,12,39
8/20/2017,25,35,80,30,12,39
8/27/2017,27,34,79,31,13,39
9/3/2017,27,34,79,32,12,41
9/10/2017,25,33,81,31,12,74
9/17/2017,25,34,80,31,12,52
9/24/2017,25,32,77,30,12,48
10/1/2017,24,32,78,31,12,47
10/8/2017,25,32,79,30,12,44
10/15/2017,25,32,78,29,12,44
